epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1253.25,0.83081,0.40112,0.78527,0.93605,0.71496,0.80049,0.56935,0.79817,0.40899,0.78769,0.000742625,0.000742625,0.000742625
43,1283.3,0.83581,0.4011,0.78552,0.87986,0.7497,0.80579,0.56693,0.7979,0.40592,0.78581,0.00073025,0.00073025,0.00073025
44,1312.83,0.82704,0.40071,0.78575,0.91871,0.73154,0.79605,0.53209,0.82068,0.40645,0.78742,0.000717875,0.000717875,0.000717875
45,1342.46,0.83996,0.40687,0.78466,0.90203,0.72832,0.7939,0.52102,0.83653,0.40833,0.78868,0.0007055,0.0007055,0.0007055
46,1372.86,0.86375,0.40512,0.78582,0.9016,0.74911,0.807,0.54615,0.78331,0.40629,0.786,0.000693125,0.000693125,0.000693125
47,1402.2,0.83708,0.40138,0.78621,0.95737,0.76038,0.83058,0.57087,0.79098,0.39988,0.78628,0.00068075,0.00068075,0.00068075
48,1432.02,0.8519,0.40324,0.78512,0.92716,0.73753,0.82094,0.55607,0.79788,0.3967,0.78671,0.000668375,0.000668375,0.000668375
49,1462.1,0.85187,0.40342,0.78312,0.89258,0.75044,0.80421,0.56153,0.76154,0.39926,0.7846,0.000656,0.000656,0.000656
50,1491.44,0.81036,0.38609,0.78418,0.91584,0.77206,0.81318,0.56507,0.77227,0.38861,0.78536,0.000643625,0.000643625,0.000643625
51,1520.86,0.8066,0.38919,0.78259,0.92078,0.74761,0.82148,0.56454,0.80531,0.40396,0.78471,0.00063125,0.00063125,0.00063125
52,1550.73,0.81449,0.39199,0.78371,0.8794,0.75472,0.80772,0.56955,0.79094,0.39922,0.78375,0.000618875,0.000618875,0.000618875
53,1580.19,0.80759,0.38564,0.78162,0.91306,0.7754,0.82331,0.58291,0.75729,0.37926,0.78205,0.0006065,0.0006065,0.0006065
54,1609.99,0.80352,0.38373,0.78105,0.93135,0.765,0.81771,0.57028,0.77088,0.38847,0.7852,0.000594125,0.000594125,0.000594125
55,1640.03,0.7932,0.37583,0.78011,0.87176,0.77079,0.81814,0.56521,0.79561,0.40459,0.7843,0.00058175,0.00058175,0.00058175
56,1670.01,0.81284,0.38741,0.78319,0.9007,0.74393,0.81707,0.55679,0.79821,0.41193,0.78649,0.000569375,0.000569375,0.000569375
57,1699.67,0.80852,0.38324,0.78083,0.87141,0.77004,0.83078,0.56218,0.77942,0.39885,0.78575,0.000557,0.000557,0.000557
58,1729.06,0.79253,0.37373,0.77874,0.91018,0.74812,0.81885,0.56996,0.76594,0.39308,0.78343,0.000544625,0.000544625,0.000544625
59,1759.03,0.76922,0.36541,0.78383,0.86872,0.72301,0.8064,0.55535,0.80627,0.40469,0.78477,0.00053225,0.00053225,0.00053225
60,1788.42,0.80381,0.3785,0.78129,0.91289,0.7444,0.81986,0.57125,0.79491,0.38634,0.7841,0.000519875,0.000519875,0.000519875
61,1818.04,0.82276,0.38506,0.78151,0.89397,0.74872,0.82072,0.56345,0.79423,0.39769,0.7841,0.0005075,0.0005075,0.0005075
62,1847.98,0.7887,0.3668,0.78066,0.94743,0.75622,0.80952,0.5649,0.7673,0.38404,0.78381,0.000495125,0.000495125,0.000495125
63,1877.78,0.77988,0.36782,0.78046,0.87405,0.76466,0.83671,0.58327,0.77253,0.39032,0.78375,0.00048275,0.00048275,0.00048275
64,1907.43,0.77025,0.36685,0.78179,0.93579,0.7588,0.8129,0.5786,0.76484,0.37027,0.78416,0.000470375,0.000470375,0.000470375
65,1937.18,0.74945,0.36106,0.78024,0.91176,0.75166,0.82501,0.57674,0.75166,0.37914,0.78343,0.000458,0.000458,0.000458
66,1967.28,0.76966,0.36432,0.77849,0.90914,0.76751,0.83849,0.59195,0.75741,0.39725,0.783,0.000445625,0.000445625,0.000445625
67,1999.67,0.77072,0.36238,0.77937,0.89987,0.79018,0.8188,0.56912,0.77014,0.37859,0.7842,0.00043325,0.00043325,0.00043325
68,2029.43,0.75114,0.357,0.78046,0.9207,0.76894,0.83117,0.58259,0.76673,0.38014,0.78271,0.000420875,0.000420875,0.000420875
69,2059,0.74273,0.35365,0.77899,0.95437,0.7897,0.84009,0.58908,0.75836,0.37936,0.78355,0.0004085,0.0004085,0.0004085
70,2088.4,0.74497,0.35456,0.77823,0.94569,0.76373,0.84115,0.58274,0.78455,0.38622,0.78261,0.000396125,0.000396125,0.000396125
71,2118.66,0.76764,0.3624,0.77652,0.91823,0.7379,0.81999,0.56445,0.77705,0.38368,0.78432,0.00038375,0.00038375,0.00038375
72,2148.33,0.74792,0.35672,0.77644,0.91707,0.76496,0.83579,0.57562,0.75254,0.38056,0.78297,0.000371375,0.000371375,0.000371375
73,2177.84,0.76318,0.36284,0.77954,0.95351,0.77633,0.82628,0.57072,0.79202,0.39178,0.78273,0.000359,0.000359,0.000359
74,2207.75,0.76549,0.36062,0.78043,0.87705,0.78041,0.83819,0.57864,0.7391,0.37073,0.78108,0.000346625,0.000346625,0.000346625
75,2237.76,0.75552,0.35106,0.77938,0.89888,0.78354,0.8395,0.58795,0.73949,0.37012,0.78118,0.00033425,0.00033425,0.00033425
76,2267.12,0.73347,0.34382,0.77649,0.89246,0.78408,0.84311,0.60095,0.72359,0.36133,0.78103,0.000321875,0.000321875,0.000321875
77,2296.7,0.73684,0.3438,0.77745,0.91215,0.77567,0.84265,0.59839,0.72057,0.36235,0.78189,0.0003095,0.0003095,0.0003095
78,2326.73,0.74706,0.34862,0.77559,0.90604,0.76657,0.83698,0.58461,0.77938,0.37706,0.78366,0.000297125,0.000297125,0.000297125
79,2356.26,0.73696,0.34724,0.77532,0.92295,0.77804,0.84672,0.60283,0.73092,0.36845,0.7814,0.00028475,0.00028475,0.00028475
80,2386.06,0.72829,0.33908,0.77689,0.95321,0.76302,0.83629,0.59634,0.72584,0.36278,0.78111,0.000272375,0.000272375,0.000272375
81,2416.01,0.72298,0.33723,0.77761,0.91894,0.7644,0.83803,0.59446,0.73185,0.37017,0.78127,0.00026,0.00026,0.00026
82,2445.43,0.71655,0.3368,0.77439,0.96187,0.75345,0.83679,0.60017,0.72272,0.36979,0.7809,0.000247625,0.000247625,0.000247625
83,2474.91,0.73621,0.34481,0.7759,0.9513,0.77421,0.84237,0.59128,0.75716,0.37293,0.78219,0.00023525,0.00023525,0.00023525
84,2504.94,0.72874,0.33995,0.77688,0.94955,0.76432,0.83786,0.59767,0.75525,0.37637,0.78169,0.000222875,0.000222875,0.000222875
85,2534.85,0.7053,0.33142,0.77498,0.95803,0.76343,0.85339,0.59211,0.74086,0.36406,0.78098,0.0002105,0.0002105,0.0002105
86,2564.42,0.70195,0.32983,0.7749,0.96854,0.74383,0.82261,0.58983,0.74128,0.3657,0.78102,0.000198125,0.000198125,0.000198125
87,2594.11,0.69971,0.3307,0.777,0.94292,0.78284,0.83499,0.59248,0.75234,0.38137,0.78201,0.00018575,0.00018575,0.00018575
88,2624.12,0.70097,0.3291,0.77506,0.91228,0.77761,0.84256,0.60156,0.73109,0.36681,0.78075,0.000173375,0.000173375,0.000173375
